FACILITY_NAME,LATITUDE,LONGITUDE,TOTAL_RELEASES
WESTERN FORMS INC,39.13706,-94.50832,0
SAFETY-KLEEN SYSTEMS SPRINGFIELD (SMO),37.217361,-93.34825,0
G3 BOATS,37.6749,-92.6431,0.002
CHEMLINE INC,38.678023,-90.254681,0.5
ROTO-DIE CO INC,38.5075,-90.65985,13.75
DELONG'S INC,38.707742,-93.191067,1.39
SOUTHWESTERN CREATIONS LLC,36.523821,-94.610202,0
NATIONAL SECURITY CAMPUS,38.863392,-94.546406,70.72
CONTINENTAL CASTING LLC,39.798983,-91.51461,5.04
SIESCO VALLEY SCREW PRODUCTS,38.460282,-91.021401,0
NORANDA ALUMINUM INC,36.59586,-89.52839,5.5
LINCOLN INDUSTRIAL CORP,38.68744,-90.2673,0
US ARMY MANEUVER SUPPORT RANGES,37.68525,-92.213389,115363
US ARMY NATIONAL GUARD FORT LEONARD WOOD RANGES,37.736182,-92.127416,3981.9
MONNIG INDUSTRIES INC,39.220219,-92.841507,32
DELONG'S INC,38.58588,-92.20227,16.035
SCROLL COMPRESSORS LLC,37.669389,-92.636194,1
SCROLL COMPRESSORS LLC,37.669389,-92.636194,1
DELTA CONCRETE,36.793228,-90.439581,0.05
EBV EXPLOSIVES ENVIRONMENTAL C O,37.0969,-94.38559,43708.54
AZZ GALVANIZING SERVICES-KANSAS CITY,39.09928,-94.49275,6.295
SAF-HOLLAND INC,38.810108,-91.152634,0.2
HUTCHENS INDUSTRIES INC MANSFIELD FACILITY,37.096306,-92.573333,0
POSITRONIC INDUSTRIES INC,37.087395,-93.845098,0
CTB INC BROCK GRAIN SYSTEMS DIV,39.096958,-94.495789,0
FORD MOTOR COMPANY--KANSAS CITY ASSEMBLY PLANT,39.20438,-94.47801,28.3
FISKARS BRANDS INC,39.33488,-94.24922,37.59
SLATER FABRIC FILTER-BHA GROUP INC,39.225052,-93.069516,0
WIRECO WORLDGROUP ST JOSEPH FACILITY,39.769642,-94.857681,0
FIOCCHI OF AMERICA INC,37.09009,-93.23764,3
ALTEC INDUSTRIES INC,39.74728,-94.771568,0.81
85TH ST MILLER MATERIALS,38.97142,-94.56018,0.03
US ARMY NATIONAL GUARD CAMP CROWDER RANGES,36.80965,-94.36724,4882.7
ENGINEERED COIL CO DBA DRS MARLO COIL,38.455417,-90.549389,0.0066002
RAPCO INTERNATONAL INC,37.474671,-89.662782,0
LEGGETT & PLATT WIRE MILL BR 0400,37.177821,-94.295005,23.7311
STAHL SPECIALTY CO,38.77476,-93.71578,0.05
MATERIALS PACKAGING CORP,38.701386,-94.370897,1.54
H-J ENTERPRISES INC,38.45934,-90.53516,6393
BODINE ALUMINUM INC,38.96477,-90.97099,0
SAFETY-KLEEN SYSTEMS INDEPENDENCE (IND),39.09518,-94.36227,0
REGAL BELOIT AMERICA INC,36.66951,-93.870979,0
US ARMY NATIONAL GUARD CAMP CLARK RANGES,37.819,-94.290389,592.6
STAHL SPECIALTY CO,38.74351,-94.06823,0.07
INSTEEL WIRE PRODUCTS,39.740966,-94.850312,0.005
WIRECO WORLDGROUP SEDALIA FACILITY,38.72625,-93.279415,0
MONDI JACKSON INC,37.48312,-89.515961,1650
SAPA ALUMINUM NA LLC,36.91727,-93.9095,64.0208
SAFETY-KLEEN SYSTEMS CAPE GIRARDEAU (CAP),37.351639,-89.575556,0
CHRISTY MINERALS CO,38.87947,-91.38786,0
US FEDERAL MEDICAL CENTER FOR FEDERAL PRISONERS,37.18254,-93.31871,1557.93
NEWCO ENTERPRISES INC,38.83001,-90.51837,0
US DOD USAF WHITEMAN AFB RANGE,38.723754,-93.565117,1321.3
BRADKEN SAINT JOSEPH MACHINE SHOP,39.73072,-94.7788,0
MMT TECHNOLOGY INC,38.59433,-94.25142,0
HOLLAND INTEGRATED METAL SOLUTIONS,39.28445,-94.39626,0
AUDUBON READYMIX LLC DBA QUICKSILVER READYMIX,39.147777,-94.39318,0.1851
BLUESCOPE BUILDINGS NA INC,39.718891,-94.89196,76.6
UNIVERSAL GALVANIZING INC,38.825095,-91.002575,33
PITTSBURGH GLASS WORKS LLC,38.80891,-90.74946,41.101
WAPPAPELLO TS,36.902389,-90.270028,216.1
SRGGI-FARMINGTON,37.75976,-90.45168,2.46
CERRO FLOW PRODUCTS LLC,39.160641,-91.914108,37.023
CERRO FLOW PRODUCTS LLC,39.69581,-92.05295,0.0016
PARKER HANNIFIN SPORLAN DIV - PLANT #1,38.55355,-91.01464,474
SCROLL COMPRESSORS LLC,36.9655,-92.663611,10.0031
MARTIN FOUNDRY CO,39.09323,-94.49756,3.7203
JW ALUMINUM,38.55751,-90.24553,8.84
METAL CONTAINER CORP - ARNOLD CAN PLANT,38.43391,-90.35578,3.4
WIRECO WORLDGROUP CHILLICOTHE FACILITY,39.778542,-93.531433,3.608
LOZIER CORP,37.0756,-94.549103,0.44
COMMERCIAL PLATING CO,38.72844,-90.22197,10.2
HUBBELL POWER SYSTEMS - EAST ST/PLASTICS,39.213668,-92.12456,33.9
MODINE MANUFACTURING CO,38.564491,-92.281158,648
GET GLOBAL SIGNALING,39.06344,-94.21497,5.91
GKN AEROSPACE NA INC,38.7765,-90.36434,2303.56
BODINE ALUMINUM INC,38.69345,-90.34642,2.0649545
CONTINENTAL CASTING LLC,39.65562,-91.72276,1.33
M & R PLATING,38.568775,-91.046287,16.4
KILLARK,38.65141,-90.23342,0.481
SPARTAN LIGHT METAL PRODUCTS INC,39.15423,-91.91414,5.4272
PARKER HANNIFIN SPORLAN DIV - PLANT #3,38.56922,-91.06091,221
SPEEDLINE TECHNOLOGIES,37.970448,-92.695034,0.1325
US DOE KANSAS CITY PLANT,38.959019,-94.576569,32.63
WATERLOO INDUSTRIES INC,38.726151,-93.247757,2.8006
PAUL MUELLER CO,37.212416,-93.314401,0.446
SIERRA BULLETS LLC,38.716861,-93.240694,106.5
NUCOR LMP,40.342709,-94.85054,11.92